"GEARNM","count"
"TRAWL,OTTER,BOTTOM,FISH",9410
"GILL NET, FIXED OR ANCHORED,SINK, OTHER/NK SPECIES",644
"TRAWL,OTTER,MIDWATER PAIRED",103
"DREDGE, SCALLOP,SEA",59
"TRAWL,OTTER,MIDWATER",54
"TRAWL,OTTER,BOTTOM,SHRIMP",48
"GILL NET,DRIFT-SINK, FISH",47
"TRAWL,OTTER,BOTTOM,HADDOCK SEPARATOR",47
"TRAWL,OTTER,BOTTOM,TWIN",10
"TRAWL,OTTER,BOTTOM PAIRED",6
"LONGLINE, BOTTOM",5
"DREDGE, OTHER/NK SPECIES",2
"POT/TRAP, LOBSTER OFFSH NK",2
"SCOTTISH SEINE",2
"TRAWL,OTTER,BOTTOM,RUHLE",2
"HANDLINE",1
"TRAWL,SHRIMP,TWINNED",1
